simulation_id,sensor_id,sensor_x,sensor_y,sensor_noise,sensor_is_fault,RH,wind_type,wind_speed,stability_value,aerosol_type,source_x,source_y,source_h,emission_rate,real_concentration_name_file,wind_dir_cos,wind_dir_sin
0,0,14.0,440.0,0.0004,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,1,431.0,123.0,0.0002,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,2,274.0,378.0,0.0004,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,3,224.0,75.0,0.0003,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,4,174.0,211.0,0.0002,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,5,113.0,20.0,0.0004,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,6,243.0,94.0,0.0001,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,7,153.0,78.0,0.0004,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,8,49.0,437.0,0.0003,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
0,9,364.0,119.0,0.0005,False,0.99,2,2.41,1,4,460.0,498.0,6.71,0.0018,sim_0_conc_real_2025-10-27.npy,0.7948959216900382,-0.036318554205483244
1,0,263.0,452.0,0.0004,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,1,168.0,415.0,0.0004,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,2,113.0,130.0,0.0002,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,3,302.0,499.0,0.0005,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,4,260.0,392.0,0.0003,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,5,262.0,499.0,0.0005,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,6,290.0,376.0,0.0005,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,7,296.0,484.0,0.0001,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,8,455.0,294.0,0.0003,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
1,9,22.0,379.0,0.0001,False,0.0,0,5.64,3,1,96.0,397.0,2.63,0.0062,sim_1_conc_real_2025-10-27.npy,1.0,0.0
2,0,40.0,470.0,0.0004,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,1,64.0,479.0,0.0004,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,2,418.0,403.0,0.0002,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,3,1.0,402.0,0.0001,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,4,316.0,148.0,0.0002,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,5,439.0,228.0,0.0004,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,6,176.0,131.0,0.0005,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,7,173.0,493.0,0.0001,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,8,213.0,181.0,0.0005,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
2,9,5.0,416.0,0.0002,False,0.0,1,5.16,2,2,199.0,337.0,7.85,0.0088,sim_2_conc_real_2025-10-27.npy,-0.05297726753198327,0.010734930779392655
3,0,401.0,423.0,0.0003,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,1,483.0,132.0,0.0,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,2,24.0,61.0,0.0002,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,3,419.0,307.0,0.0002,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,4,498.0,203.0,0.0001,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,5,412.0,111.0,0.0001,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,6,208.0,174.0,0.0005,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,7,162.0,209.0,0.0001,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
3,8,158.0,265.0,0.0003,False,0.0,0,1.91,0,3,295.0,218.0,5.17,0.0075,sim_3_conc_real_2025-10-27.npy,1.0,0.0
